,PCA,Neighbors,Weights,P Integer,Mean CV Score,STD CV Score,Execution Time
68,9,1,uniform,1,0.7155986724534082,0.45112882022358974,132.732816696167
69,18,35,distance,1,0.7755935665049783,0.4171908269617947,202.65481734275818
70,14,189,uniform,1,0.7370436558590758,0.44023891833521944,169.93182492256165
71,14,109,distance,1,0.7605310186367118,0.4267594033271175,172.12782192230225
72,11,15,distance,2,0.779933622670411,0.41429116198468435,146.75981950759888
73,17,91,uniform,2,0.7597651263722236,0.427226028140635,195.57181978225708
74,11,189,distance,1,0.7572121521572632,0.428767896166013,147.35082125663757
75,14,25,uniform,2,0.7771253510339545,0.4161748908984148,170.45981764793396
76,7,183,distance,1,0.7628286954301762,0.4253481830905967,119.24881720542908
77,5,107,distance,2,0.7715088077610416,0.41986065225045527,102.96878099441528
78,6,165,distance,1,0.7689558335460812,0.4215006045090952,109.95378470420837
79,18,39,uniform,2,0.7740617819760021,0.41819868443138164,199.12981843948364
80,16,147,distance,1,0.756446259892775,0.4292264155279906,185.39281821250916
81,17,163,uniform,1,0.7416390094460046,0.4377334681218169,191.04482078552246
82,None,23,uniform,1,0.7794230278274189,0.41463570941219896,257.154821395874
83,14,181,uniform,2,0.738320142966556,0.4395492116434748,171.8028244972229
84,8,175,uniform,2,0.7470002552974215,0.4347308062272659,126.34478068351746
85,15,7,uniform,2,0.7612969109011999,0.4262908917083385,176.57682418823242
86,23,17,distance,2,0.7745723768189942,0.4178636259450783,239.43482494354248
87,10,197,uniform,2,0.7367883584375797,0.44037628604233026,140.61578512191772
88,4,131,distance,2,0.7715088077610416,0.41986065225045527,94.3309154510498
89,11,75,uniform,1,0.7610416134797039,0.4264472722763189,147.0267834663391
90,17,71,uniform,2,0.7628286954301762,0.4253481830905967,196.1808214187622
91,21,155,distance,1,0.7510850140413582,0.43238445361026917,226.74681758880615
92,20,41,uniform,2,0.773806484554506,0.41836587936386865,221.2668173313141
93,4,109,uniform,2,0.7704876180750574,0.42051926051975536,97.68999528884888
94,21,21,distance,2,0.7781465407199387,0.41549308283716524,225.50182151794434
95,5,183,distance,2,0.7674240490171049,0.42247411519204,103.12100005149841
96,23,117,distance,1,0.7574674495787592,0.4286146432489318,241.03382515907288
97,17,37,distance,2,0.7768700536124585,0.41634477709301737,195.53078079223633
98,19,9,distance,2,0.7692111309675772,0.4213375926298981,210.4428210258484
99,20,135,distance,1,0.7526167985703345,0.43149131286744935,216.55682134628296
100,9,111,uniform,1,0.7589992341077355,0.4276907723245925,133.14778113365173
101,5,43,distance,2,0.779678325248915,0.4144635501295163,101.4810049533844
102,11,97,uniform,2,0.7567015573142711,0.4290737820846527,151.79178023338318
103,9,131,uniform,2,0.7526167985703345,0.43149131286744935,132.46891927719116
104,19,11,distance,2,0.774317079397498,0.41803126671437724,207.25230145454407
105,8,161,distance,1,0.7633392902731683,0.42503225548000956,127.40699863433838
106,21,13,uniform,2,0.7732958897115139,0.418699601942481,223.85082292556763
107,23,195,distance,2,0.749808526933878,0.43312319248814873,244.39482426643372
108,20,125,uniform,2,0.7477661475619096,0.43429475718954985,219.31482076644897
109,13,149,distance,1,0.7589992341077355,0.4276907723245925,162.36477947235107
110,14,111,distance,1,0.7612969109011999,0.4262908917083385,171.123779296875
111,8,37,distance,2,0.7827418943068675,0.41237970513079836,124.52599954605103
112,23,35,uniform,2,0.7732958897115139,0.418699601942481,245.07382106781006
113,22,127,distance,1,0.7551697727852948,0.4299864963655266,237.6272943019867
114,10,49,distance,2,0.7801889200919071,0.4141185446918925,140.14299631118774
115,17,115,uniform,2,0.7510850140413582,0.43238445361026917,196.4017777442932
116,4,77,distance,2,0.779678325248915,0.4144635501295163,94.7309980392456
117,23,7,distance,2,0.7630839928516722,0.42519032527236705,238.00278496742249
118,4,83,uniform,1,0.7766147561909624,0.4165144375137726,95.02100014686584
119,13,195,distance,1,0.755425070206791,0.4298348909870579,164.22000336647034
120,3,123,distance,1,0.660709726831759,0.47346846114779534,88.98800349235535
121,18,195,distance,1,0.749808526933878,0.43312319248814873,205.15178179740906
122,21,101,uniform,2,0.7549144753637989,0.4301378967842745,223.17578077316284
123,1,129,uniform,1,0.5703344396221598,0.4950283492922771,77.0440001487732
124,3,11,uniform,2,0.6441153944345163,0.4787804852821215,86.08599972724915
125,19,37,distance,2,0.7750829716619863,0.41752767417455205,208.42200016975403
126,22,5,uniform,1,0.7505744191983661,0.4326805524210691,229.6249225139618
127,14,195,uniform,1,0.73806484554506,0.43968753600210997,168.81599950790405
128,10,107,distance,2,0.7656369670666326,0.42360004925358624,140.7419991493225
129,19,107,distance,2,0.7605310186367118,0.4267594033271175,212.10599970817566
130,None,159,distance,2,0.7531273934133266,0.431191978941834,254.91078066825867
131,19,153,uniform,1,0.7424049017104927,0.43730980280200255,207.43500447273254
132,19,113,distance,2,0.7589992341077355,0.4276907723245925,213.05799961090088
133,2,155,uniform,2,0.6224151136073526,0.4847829823338469,80.19799661636353
134,17,65,uniform,2,0.7676793464386009,0.4223124050868071,195.47199988365173
135,11,61,distance,2,0.7717641051825377,0.4196954504570363,148.04100036621094
136,10,161,uniform,1,0.7462343630329333,0.43516507036039276,143.44000053405762
137,11,83,uniform,1,0.7584886392647434,0.427999560012696,147.18499946594238
138,17,165,uniform,2,0.7413837120245086,0.43787430110622977,191.72399997711182
139,6,97,distance,1,0.7725299974470258,0.41919852157602383,112.0680000782013
140,17,101,uniform,1,0.7487873372478938,0.4337105726462093,190.69700002670288
141,14,109,uniform,2,0.7531273934133266,0.431191978941834,170.3109962940216
142,12,73,uniform,1,0.7625733980086801,0.42550582917061813,157.57999682426453
143,18,87,uniform,2,0.7592545315292315,0.4275360661763621,202.81000185012817
144,None,119,distance,2,0.7582333418432474,0.4281536420030414,252.69700384140015
145,23,197,distance,1,0.7475108501404136,0.4344403055228298,243.1369960308075
146,13,77,uniform,1,0.7600204237937197,0.427070695798874,162.03399991989136
147,12,199,distance,2,0.7485320398263977,0.43385691786547537,159.2710030078888
148,16,195,uniform,1,0.7367883584375797,0.44037628604233026,184.24599885940552
149,23,103,uniform,1,0.750063824355374,0.43297584661129157,241.0289957523346
150,1,67,uniform,1,0.5606331376053102,0.4963100065726416,76.503000497818
151,19,181,distance,2,0.7523615011488384,0.43164067549051127,207.7440001964569
152,16,129,uniform,1,0.7503191217768701,0.43282829999071976,187.9489996433258
153,1,15,uniform,2,0.5455705897370436,0.49791899075152574,76.78199577331543
154,3,13,uniform,2,0.6441153944345163,0.4787804852821216,90.74400019645691
155,23,91,uniform,1,0.7503191217768701,0.43282829999071976,241.5480010509491
156,11,45,distance,2,0.7801889200919071,0.4141185446918925,149.73799657821655
157,6,19,uniform,2,0.7753382690834822,0.41735936263382417,110.17800045013428
