,PCA,Max iter,Alpha,Power t,Layers,Solver,Learning Rate,Learning Rate Init,Mean CV Score,STD CV Score,Execution Time
26,7,5000,0.0005,0.5,"(3,)",sgd,adaptive,0.0005,0.762577540594782,0.01355364579481346,57.063998222351074
27,12,5000,0.001,0.5,"(27,)",sgd,invscaling,0.005,0.5948442020486355,0.035965449610287664,106.17599725723267
28,2,6000,1e-05,0.5,"(15,)",sgd,adaptive,0.0005,0.5772288033987542,0.007425010344133925,46.22100067138672
29,7,6000,0.001,0.5,"(6,)",adam,constant,0.001,0.7789014648004795,0.01999703012843137,32.414000272750854
30,15,5000,0.0001,0.5,"(15,)",sgd,invscaling,0.001,0.31585379362472954,0.1089022160196148,115.21899724006653
31,8,5000,0.0005,0.5,"(21,)",adam,constant,0.01,0.7896274793442282,0.012968359891010457,15.404000043869019
32,4,5000,0.001,0.5,"(15,)",adam,constant,0.001,0.7878430682617873,0.010417653156500622,36.791999101638794
33,7,5000,1e-05,0.5,"(21,)",sgd,constant,0.01,0.792179802955665,0.01586863300616878,44.769999265670776
34,22,5000,0.0001,0.5,"(3,)",adam,constant,0.01,0.7760995777621394,0.01201479193848125,12.642999649047852
35,6,200,0.0005,0.5,"(18,)",sgd,constant,0.001,0.7735439961425183,0.012095136754947024,138.41299510002136
36,11,200,1e-05,0.5,"(6,)",sgd,constant,0.001,0.7674160085490135,0.014529239160410984,138.72799825668335
37,10,5000,0.001,0.5,"(27,)",adam,constant,0.005,0.7939704042536555,0.010691399477289568,142.69999861717224
38,19,6000,0.0001,0.5,"(9,)",sgd,constant,0.001,0.7704844006568143,0.007249373679927643,43.048996925354004
39,6,5000,0.001,0.5,"(9,)",sgd,constant,0.01,0.7863095238095237,0.011721067477337891,173.34899735450745
40,22,6000,0.0005,0.5,"(21,)",sgd,invscaling,0.0001,0.3229158521646206,0.14543327096695355,74.9979989528656
41,18,6000,0.0001,0.5,"(12,)",adam,constant,0.001,0.796265996820184,0.014588321497476025,207.87799406051636
42,18,5000,5e-05,0.5,"(6,)",adam,constant,0.01,0.7970280449344488,0.01890252656244058,44.31599974632263
43,12,5000,5e-05,0.5,"(12,)",sgd,adaptive,0.0001,0.7469948132509708,0.015141222641713206,199.26199984550476
44,6,6000,1e-05,0.5,"(6,)",sgd,invscaling,0.001,0.2422856882216488,0.10127007638944405,226.47099804878235
45,4,5000,0.0001,0.5,"(15,)",adam,constant,0.0005,0.7832456929131806,0.011580889677582806,39.66200494766235
46,20,6000,0.001,0.5,"(6,)",sgd,invscaling,0.005,0.41763527249980453,0.08130088278766345,232.05199456214905
47,8,6000,0.001,0.5,"(18,)",sgd,invscaling,0.0005,0.2646939427111841,0.10177913371081458,17.649001359939575
48,20,5000,0.0001,0.5,"(15,)",adam,constant,0.01,0.7934582453671124,0.012488307051838983,122.35199975967407
49,12,5000,1e-05,0.5,"(12,)",sgd,constant,0.01,0.7909010347433993,0.017065495010723613,243.98899602890015
50,18,6000,0.0005,0.5,"(3,)",sgd,adaptive,0.005,0.771247100372716,0.014392958697143094,105.37500047683716
51,None,5000,0.0005,0.5,"(6,)",adam,constant,0.01,0.7740590872364271,0.007521156977182742,45.89400362968445
52,13,6000,5e-05,0.5,"(15,)",sgd,adaptive,0.005,0.7949895092136472,0.013714113397426723,264.36299538612366
53,3,5000,0.001,0.5,"(9,)",sgd,invscaling,0.0001,0.386321578439805,0.1685621024052603,1.5860004425048828
54,8,6000,0.0001,0.5,"(27,)",sgd,adaptive,0.005,0.7967752234993614,0.01453631685842109,160.20400142669678
55,7,5000,0.0001,0.5,"(24,)",sgd,adaptive,0.005,0.7906495165115854,0.011868134846136795,59.36900353431702
56,7,6000,0.0005,0.5,"(21,)",sgd,adaptive,0.01,0.7865623452446113,0.01742829640551424,47.63699793815613
57,22,6000,1e-05,0.5,"(9,)",adam,constant,0.0001,0.7758402403106837,0.015069282043085155,205.5330033302307
58,20,5000,1e-05,0.5,"(3,)",sgd,adaptive,0.01,0.7829945004821852,0.011516649926052957,38.4380042552948
